,사고원인
0,부주의
1,기타
2,"복장, 개인보호구의 부적절한 사용"
3,작업자의 단순과실
4,"타설 미흡(하중, 속도, 순서 등)"
5,작업중 충돌
6,작업중 이동
7,중량물 운반
8,작업순서 미흡
9,무모한 또는 불필요한 행위 및 동작
10,전도 예방조치 미흡
11,설치 미흡
12,작업발판 고정 철선 절단
13,구조물등 그밖의 위험방치 및 미확인
14,자재불량에 의한 파손
15,"설비,기계등의 부적절한 사용 관리"
16,고소작업대 설치 미흡
17,불안전한 작업자세
18,주용도외 사용
19,지지부재 이탈
20,가설공사 전담기술자 미배치
21,지반상태 불량
22,버팀대 설치 미흡
23,돌풍
24,중량물 취급 미흡
25,거푸집 조기 해체
26,부재의 체결강도 미흡
27,거푸집 긴결재/앵커 위치
28,작업신호 불량
29,작업 공간 협소
30,절단방향 판단 오류
31,로프 매듭풀림
32,집중호우
33,방호시설 미설치
34,장비운용 미흡
35,지지대 미설치
36,철근 과적재
37,조립불량
38,가새 설치 미흡
39,와이어로프 이탈
40,자중에 의한 처짐
41,이동식 비계 조정
42,적재방법 불량
43,거푸집 긴결재/앵커 해체
44,장애물 충돌
45,지지구조물 설치 미흡
46,용접부 탈락
47,연결부 파손
48,지지대 연결부 파손
49,작업자 하중
50,과다한 굴착
51,브레이크 파열
52,파손
53,토사층
54,탈락
55,소음진동
56,부석 미제거
57,지장물 조치 미흡
58,해체방법 부적정
59,흙막이 가시설 설치미흡
60,조작 미숙
61,유도자 미배치
62,토압
63,궤도차량 충돌
64,버팀대 미설치
65,토사유실
66,시공순서 불량
67,크레인줄걸이
68,크레인와이어
69,철근배근 미흡
70,단차발생
71,사면활동
72,철거 잔재물 적치
73,추진방향 판단 미흡
74,부석제거 미흡
75,철근 전도방지 미조치
76,"작업전 부석, 균열, 함수 등 변화 점검 미흡"
77,기계적 결함
78,굴착면 기울기
79,용접불량
80,긴결 미흡
81,상재하중
82,용접부위 파단
83,집중하중
84,버팀목 미설치
85,경사각 미준수
86,수평보강 및 지지 미흡
87,로프 강도 불충분
88,굴착공법 및 순서 불량
89,과하중
90,버팀목 설치 미흡
91,풍화암층 파쇄대
92,콘크리트 유동화
93,인양로프 해체방법 미흡
94,시공계획서 및 시공상세도 미준수
95,설치방법 불량
96,거푸집 하단 미고정
97,시공계획서 미작성
98,부적정한 이음방법
99,외력
100,지하수 유입
101,거푸집 수직도 미확보
102,지지부재 파단
103,인양방법 불량
104,구조조립상태 불량
105,전단변형 미고려
106,지지용 로프 풀림
107,구조안전성 미검토
108,수직도 미확보
109,결속벤딩 해체
110,볼트 결함
111,철근결속 미흡
112,분할 시공
113,와이어로프 파단
114,지반 함수량 증가
115,배관 탈락
116,하중의 지지상태 미흡
117,벽이음 일부해체
118,부착토 미제거
119,지반붕괴
120,과도한 변형
121,과적운행
122,침하
123,충격하중
124,강도 발휘전 해체
125,절취면 기울기
126,과속주행
127,적재하중
128,강성 부족
129,시공하중
130,작업하중
131,유압잭 결함
132,설계시 작업하중과 장비하중의 실중량 미고려
133,인화성 유증기 잔류
134,단층파쇄대
135,붐 연결핀 파단
136,재사용
137,임의 설계변경
138,풍화암층
139,동절기 콘크리트 타설
140,가새 미설치
141,설치작업순서 미준수
142,아웃트리거 설치 미흡
143,동결융해
144,거푸집의 수직도 및 레벨
145,히빙
146,중량물 설치방법 미흡
147,구조기준 미준수
148,작업원 교육 미실시
149,해체계획 미수립
150,철골빔 앵커 이탈
151,이동식작업차 각 부재의 변형
152,전석제거 미흡
153,편하중
154,연결볼트 해체
155,수직재 연결핀 미설치
156,철골보 접합부 불량
157,전용 달기구 미사용
158,"설치 미흡, 이동식 비계 조정, 구조물등 그밖의 위험방치 및 미확인"
159,"무모한 또는 불필요한 행위 및 동작, 기타"
160,"작업자의 단순과실, 무모한 또는 불필요한 행위 및 동작, 불안전한 작업자세"
161,"작업중 이동, 작업자의 단순과실"
162,"조작 미숙, 작업자의 단순과실"
163,"작업중 이동, 설비,기계등의 부적절한 사용 관리"
164,"불안전한 작업자세, 작업자의 단순과실, 기타"
165,"무모한 또는 불필요한 행위 및 동작, 설비,기계등의 부적절한 사용 관리"
166,"작업자의 단순과실, 불안전한 작업자세, 고소작업대 설치 미흡"
167,"부주의, 작업순서 미흡"
168,조립도 작성시 좌굴 미고려
169,"불안전한 작업자세, 작업자의 단순과실"
170,"부주의, 설치방법 불량"
171,"작업순서 미흡, 작업자의 단순과실"
172,"자재불량에 의한 파손, 파손, 복장, 개인보호구의 부적절한 사용"
173,창호 위치 조정 미숙
174,"고소작업대 설치 미흡, 부주의"
175,"중량물 운반, 작업자의 단순과실"
176,"무모한 또는 불필요한 행위 및 동작, 작업순서 미흡"
177,"작업자의 단순과실, 외력, 기타"
178,"부주의, 작업중 이동, 작업자의 단순과실"
179,"작업자의 단순과실, 복장, 개인보호구의 부적절한 사용"
180,갑작스런 붐 강하
181,"무모한 또는 불필요한 행위 및 동작, 복장, 개인보호구의 부적절한 사용, 작업자의 단순과실"
182,"장비운용 미흡, 작업중 충돌"
183,"작업자의 단순과실, 불안전한 작업자세, 작업중 이동"
184,암반층 파쇄대
185,해체작업 방법 불량
186,타설순서 미준수
187,"작업자의 단순과실, 장비운용 미흡"
188,"구조물등 그밖의 위험방치 및 미확인, 작업자의 단순과실"
189,"불안전한 작업자세, 작업중 이동"
190,"부주의, 작업 공간 협소 , 작업중 이동"
191,중량물 하중집중
192,"부주의, 작업자의 단순과실"
193,"거푸집 긴결재/앵커 해체, 연결볼트 해체"
194,"작업중 충돌, 작업자의 단순과실"
195,"작업자의 단순과실, 설비,기계등의 부적절한 사용 관리"
196,"해체방법 부적정, 작업자의 단순과실"
197,"설치방법 불량, 작업자의 단순과실"
198,"불안전한 작업자세, 설비,기계등의 부적절한 사용 관리"
199,"지지부재 이탈, 지지구조물 설치 미흡"
200,"작업자의 단순과실, 작업중 이동"
