,word
0,<PAD>
1,<BOS>
2,<UNK>
3,<UNUSED>
4,을
5,에
6,작업
7,중
8,이
9,가
10,에서
11,를
12,)
13,(
14,.
15,자
16,으로
17,로
18,사고
19,재해
20,의
21,","
22,하여
23,발생
24,층
25,경
26,설치
27,한
28,후
29,1
30,이동
31,위해
32,자재
33,철근
34,2
35,현장
36,작업중
37,바닥
38,거푸집
39,비계
40,된
41,골절
42,하던
43,해체
44,동
45,발
46,함
47,위
48,및
49,손가락
50,근로자
51,추락
52,임
53,발판
54,**
55,공사
56,상부
57,인
58,안전
59,와
60,과
61,m
62,3
63,왼쪽
64,하고
65,:
66,씨
67,운반
68,못
69,지하
70,되어
71,넘어짐
72,시
73,하는
74,사이
75,부주의
76,계단
77,병원
78,파이프
79,과정
80,높이
81,공
82,하부
83,2020년
84,-
85,상태
86,우측
87,걸려
88,구간
89,오른쪽
90,절단
91,고
92,는
93,인한
94,미끄러져
95,2021년
96,사다리
97,하기
98,대
99,4
100,있던
101,00
102,손
103,단
104,고정
105,시스템
106,벽체
107,내
108,하지
109,정리
110,됨
111,콘크리트
112,넘어지면서
113,부위
114,배관
115,부상
116,확인
117,설
118,서
119,발목
120,좌측
121,부분
122,사용
123,미
124,타
125,지
126,오전
127,장비
128,잃고
129,크레인
130,중심
131,주
132,30분
133,자의
134,장
135,왼손
136,약
137,낙하
138,부
139,있는
140,이용
141,보
142,건설
143,전
144,조립
145,내부
146,도중
147,인양
148,지상
149,전도
150,수
151,하
152,무릎
153,용
154,상
155,유로폼
156,H
157,김
158,적재
159,미흡
160,통증
161,타격
162,제거
163,원
164,등
165,외부
166,그라인더
167,2019년
168,5
169,물
170,부딪힘
171,슬라브
172,재
173,은
174,동바리
175,형틀
176,어깨
177,동료
178,떨어짐
179,차량
180,사
181,양
182,빔
183,실
184,소속
185,인지
186,난간
187,/
188,주변
189,아래
190,허리
191,오른손
192,오후
193,넘어져
194,구
195,기
196,M
197,체결
198,다리
199,헛디뎌
200,순간
201,끼임
202,적
203,인해
204,여
205,cm
206,면
207,충돌
208,미끄러지면서
209,판넬
210,진행
211,충격
212,합판
213,조
214,진단
215,현
216,틀
217,신축
218,손목
219,떨어져
220,말
221,가설
222,시설
223,위치
224,10시
225,입음
226,연결
