,0,1
0,<unk>,0.0
1,<s>,0.0
2,</s>,0.0
3,▁한다.,-3.05381
4,▁및,-3.9594
5,▁하여야,-4.6662
6,▁등,-4.84052
7,▁작업,-4.97982
8,▁않도록,-5.05906
9,▁시,-5.10717
10,▁등을,-5.1282
11,▁등의,-5.17985
12,▁또는,-5.21217
13,▁수,-5.2146
14,▁경우에는,-5.24809
15,▁있는,-5.29852
16,▁설치하여야,-5.40182
17,▁후,-5.57827
18,"▁하며,",-5.58355
19,▁경우,-5.58531
20,▁설치,-5.66242
21,▁작업을,-5.71733
22,▁위하여,-5.73359
23,▁때에는,-5.78834
24,▁확인하여야,-5.80361
25,▁콘크리트,-5.80581
26,▁따라,-5.84398
27,▁대한,-5.8789
28,▁의한,-5.9629
29,▁시에는,-6.00233
30,▁다음,-6.03226
31,▁위한,-6.04898
32,▁하며,-6.11277
33,▁등에,-6.13701
34,▁조치를,-6.17452
35,▁그,-6.18734
36,▁있도록,-6.2036
37,▁실시하여야,-6.21018
38,▁전에,-6.22346
39,▁이상,-6.27846
40,▁반드시,-6.32549
41,▁위해,-6.34041
42,▁근로자의,-6.35556
43,▁준수하여야,-6.37873
44,▁고려하여,-6.38657
45,▁이동식,-6.39052
46,▁방지하기,-6.40646
47,▁할,-6.41048
48,▁중,-6.44327
49,▁사항을,-6.45585
50,▁하고,-6.46859
51,▁필요한,-6.48583
52,▁사전에,-6.49456
53,▁사용하여야,-6.52123
54,▁충분한,-6.53028
55,▁같은,-6.53941
56,▁GUIDE,-6.54863
57,▁각,-6.5768
58,▁크레인,-6.58637
59,▁거푸집,-6.59603
60,▁등으로,-6.6009
61,▁따른다.,-6.62559
62,▁사용,-6.63564
63,▁전,-6.6407
64,▁관한,-6.65091
65,▁등이,-6.65605
66,▁KOSHA,-6.66122
67,▁따른,-6.66122
68,▁안전한,-6.67163
69,"▁하고,",-6.69816
70,▁다음과,-6.70897
71,▁것을,-6.72541
72,▁즉시,-6.72541
73,▁위험이,-6.73652
74,▁하는,-6.74212
75,▁<그림,-6.74776
76,▁이용하여,-6.75912
77,▁설치하고,-6.77062
78,▁점검하여야,-6.79994
79,▁근로자가,-6.83016
80,▁설치하여,-6.83631
81,▁타설,-6.8425
82,▁인한,-6.84873
83,▁같다.,-6.855
84,▁여부를,-6.855
85,▁인양,-6.86131
86,▁수립하여야,-6.86766
87,▁충분히,-6.87405
88,▁근로자에게,-6.88048
89,▁설치하는,-6.88696
90,▁우려가,-6.88696
91,▁크레인의,-6.88696
92,▁확인하고,-6.88696
93,▁사용하는,-6.89347
94,▁사용하여,-6.89347
95,▁근로자,-6.90003
96,▁있으므로,-6.9267
97,▁흙막이,-6.9267
98,▁굴착,-6.9403
99,▁때,-6.9403
100,▁없도록,-6.9403
101,▁장비,-6.9403
102,▁같이,-6.95409
103,▁부재의,-6.96106
104,▁작업에,-6.98943
105,▁대하여,-6.99665
106,▁안전,-6.99665
107,▁이상의,-6.99665
108,▁출입을,-7.00393
109,▁해체,-7.00393
110,▁발생하지,-7.01125
111,▁여부,-7.01863
112,▁기타,-7.02607
113,▁된다.,-7.0641
114,▁시공,-7.07188
115,▁작업하여야,-7.09559
116,▁이상이,-7.10363
117,▁안전대,-7.11172
118,▁장비의,-7.11172
119,▁가능한,-7.11989
120,▁것,-7.11989
121,▁상태를,-7.11989
122,▁공사,-7.12812
123,▁자재,-7.15322
124,▁재해를,-7.15322
125,▁주의하여야,-7.15322
126,▁하여,-7.15322
127,▁등은,-7.17898
128,▁이를,-7.19652
129,▁확보하여야,-7.19652
130,▁금지하여야,-7.20541
131,▁운반,-7.20541
132,▁현장,-7.20541
133,▁설치할,-7.21438
134,▁없는,-7.22343
135,▁되도록,-7.23256
136,▁상태,-7.24178
137,▁작업발판,-7.24178
138,▁작업장,-7.25108
139,▁지반의,-7.25108
140,▁적절한,-7.26995
141,▁조립,-7.26995
142,▁구조물,-7.27952
143,▁검토하여야,-7.28918
144,▁사항은,-7.28918
145,▁유무를,-7.28918
146,▁사용할,-7.30879
147,▁적합한,-7.30879
148,▁해당,-7.30879
149,▁철저히,-7.31874
150,▁확인,-7.31874
151,▁부재,-7.32879
152,▁점검하고,-7.32879
153,▁사항,-7.33894
154,▁한,-7.33894
155,▁구조물의,-7.37003
156,▁예방하기,-7.37003
157,▁안전하게,-7.38061
158,▁견고하게,-7.39131
159,▁배치하여야,-7.39131
160,▁실시하여,-7.39131
161,▁안전대를,-7.39131
162,▁지반,-7.39131
163,▁모든,-7.40212
164,▁방법,-7.41305
165,▁안전성을,-7.41305
166,▁있을,-7.41305
167,▁착용하여야,-7.41305
168,▁:,-7.4241
169,▁장소에,-7.43527
170,▁견고한,-7.44657
171,▁의하여,-7.44657
172,▁수시로,-7.458
173,▁작업은,-7.458
174,▁실시하고,-7.48126
175,▁작업이,-7.48126
176,▁항상,-7.48126
177,▁확인한,-7.48126
178,▁방지하여야,-7.49309
179,▁아니,-7.49309
180,▁또한,-7.50507
181,▁발생,-7.50507
182,▁상태에서,-7.50507
183,▁계획,-7.51719
184,▁계획을,-7.51719
185,▁의해,-7.51719
186,▁주변,-7.52946
187,▁근로자는,-7.54188
188,▁방지를,-7.54188
189,▁용접,-7.54188
190,▁위치에,-7.54188
191,▁장소에서,-7.54188
192,▁검토하여,-7.55446
193,▁상부,-7.55446
194,▁있다.,-7.55446
195,▁선정하여야,-7.5672
196,▁철근,-7.5672
197,▁발생할,-7.5801
198,▁위험을,-7.5801
199,▁위에,-7.59317
200,▁콘크리트를,-7.59317
201,▁내,-7.60642
202,▁사용되는,-7.60642
203,▁안전난간,-7.60642
204,▁안전조치,-7.60642
205,▁기초,-7.61984
206,▁안전성,-7.61984
207,▁않는,-7.61984
208,▁유지하여야,-7.61984
209,▁다음의,-7.63345
210,▁방법으로,-7.63345
211,▁신호수를,-7.63345
212,▁떨어짐,-7.64724
213,▁운전자는,-7.66123
214,▁작업시,-7.66123
215,▁하중을,-7.66123
216,▁부재를,-7.7044
217,▁이동,-7.7044
218,▁있어야,-7.7044
219,▁가설,-7.71922
220,▁고정하여야,-7.71922
221,▁곳에,-7.71922
222,▁다른,-7.71922
223,▁때는,-7.71922
224,▁볼트,-7.71922
225,▁않아야,-7.71922
226,▁유무,-7.71922
227,▁확인하여,-7.71922
228,▁관리감독자는,-7.73425
229,▁동바리,-7.73425
230,▁영향을,-7.73425
231,▁작업의,-7.73425
232,▁후에,-7.73425
233,▁미리,-7.74952
234,▁하부,-7.74952
235,▁작업계획을,-7.76503
236,▁잘,-7.76503
237,▁주탑,-7.76503
238,▁크레인을,-7.76503
239,▁경우는,-7.78077
240,▁설치한다.,-7.78077
241,▁안전보건작업,-7.78077
242,"▁설치하고,",-7.79677
243,▁위치를,-7.79677
244,▁장소에는,-7.79677
245,▁설치된,-7.81303
246,▁슬래브,-7.81303
247,▁안전조치를,-7.81303
248,▁이외의,-7.81303
249,▁인하여,-7.81303
250,▁높이,-7.82956
251,▁두어야,-7.82956
252,▁배치,-7.82956
253,▁이용한,-7.82956
254,▁특히,-7.82956
255,▁밖의,-7.84637
256,▁사업주는,-7.84637
257,▁설계,-7.84637
258,▁이,-7.84637
259,▁이에,-7.84637
260,▁작업발판을,-7.84637
261,▁해체작업,-7.84637
262,"▁확인하고,",-7.84637
263,▁관련,-7.86347
264,▁낙하물,-7.86347
